# Gaia DR3 Real Star Cluster: Pleiades (M45)
# Total Stars: 1679 | 1:1 IRL Physical Units: pos=pc, vel=km/s, mass=M_sun
# Gravitational constant: G = 0.004300917 pc*(km/s)^2/M_sun | 1 time unit = 0.9778 Myr
# name,mass,x,y,z,vx,vy,vz
gaia_66526127137440128,5.5416,-8.6046,-10.9307,-6.4849,-2.1479,-0.0521,-2.1748
gaia_65271996684817280,5.3379,-8.5764,-14.6721,-7.7374,-1.6205,0.7459,2.6211
gaia_65283232316451328,5.3630,-3.7730,-6.6054,-2.9063,-1.2286,-1.2127,14.1115
gaia_65205373152172032,5.1809,1.8366,2.3660,0.7475,-4.5177,-5.5478,-2.1748
gaia_66529975427235712,3.8957,-1.2984,0.4709,-0.2208,-0.5255,-4.2726,-2.1748
gaia_64940906245415808,3.5475,-4.5572,-5.4139,-5.0074,-1.1489,-2.1183,-2.1748
gaia_65287458566524928,3.6182,-0.7308,-3.0138,-0.9916,-0.5475,-1.9419,14.3194
gaia_69812945346809600,3.4777,0.3488,-1.0475,1.4745,-0.0176,-3.3540,10.7304
gaia_66798496781121792,3.3550,-0.6242,-1.7761,0.1947,-0.0951,-2.9434,9.6180
gaia_64053566003097984,3.0836,-2.2753,-0.3137,-5.6337,0.2773,-0.4227,-2.1748
gaia_66453490649681280,2.9777,-3.3409,-2.1766,-2.8022,-1.9376,-2.0287,-2.1748
gaia_66715105696289024,2.9296,-0.0428,0.5466,0.0592,0.1064,-2.7579,-2.1748
gaia_63845586506187648,2.8492,-1.4296,2.7695,-4.9365,-3.3461,6.6782,61.7220
gaia_66786505232432512,2.7847,-1.7642,-3.3609,-0.7654,-0.7829,-1.7384,11.4816
gaia_66745617143891968,2.7051,-1.0193,1.0851,0.7281,-1.0460,-2.9801,7.4376
gaia_64679840952155264,2.5991,2.9870,-3.4718,-4.4419,-0.3293,-2.2408,4.7275
gaia_67725419441688704,2.7355,10.2743,5.0478,1.7681,-23.2601,13.7759,-0.4580
gaia_66789872486779520,2.5513,-0.7758,-0.9353,0.3865,1.2319,-4.0611,7.8217
gaia_66507469798631808,2.5256,-2.8646,-1.1881,-1.9707,-1.4979,-2.5076,-2.1748
gaia_66729880383767168,2.5508,-0.4897,0.0036,0.2014,-1.1252,-3.8440,-2.1748
gaia_64956127609464320,2.4612,-0.9162,-2.3091,-3.7206,-0.1845,-2.2713,5.6389
gaia_66486510358371072,2.5661,2.5200,8.2520,3.1454,0.6416,-4.7605,-2.1748
gaia_66725379258016768,2.5359,2.2906,5.3298,3.0593,0.1846,-4.2422,-2.1748
gaia_65017627244152064,2.4159,-0.9482,-0.8403,-1.5005,-0.9100,-2.5865,2.0601
gaia_64109915973846528,2.4148,-1.1952,1.0911,-4.1640,-1.4510,-2.0377,-2.1748
gaia_68540535515653504,2.2808,-1.3641,-9.2245,-2.4357,0.0592,-2.1638,-2.9920
gaia_65207709611941376,2.2553,-0.1628,0.4197,-0.5515,-0.1264,-2.0516,-4.0316
gaia_65230833717683712,2.1677,-2.9748,-5.0186,-2.5402,-2.7750,19.7995,-2.1748
gaia_65231486552803328,2.1946,-1.0899,-1.9430,-0.7686,-0.0914,-1.8904,0.9606
gaia_68409590552589184,2.2249,5.6988,-0.5756,1.4824,0.7435,-8.2658,50.8870
gaia_69877988331531904,1.9861,-6.9478,-13.2483,-4.5256,-0.3392,-3.7956,2.5617
gaia_66746441777612416,2.1533,0.7326,3.7318,2.2079,0.0524,-2.8769,-2.0276
gaia_66558249192653952,2.0908,-2.4476,-0.5582,-0.3318,-0.6489,-1.9796,-1.5929
gaia_66791246876452736,1.9660,-5.8737,-8.3301,-3.5419,-9.1039,-6.8291,-2.1748
gaia_67369658709673344,2.0317,-4.4507,-1.6983,3.0553,-0.8997,-3.2549,-3.7989
gaia_64114245300877184,1.9830,-2.4922,-1.3877,-5.1277,0.0997,-3.1583,3.1433
gaia_65007083101413888,1.9592,-2.3934,-2.9563,-2.9497,0.4921,-2.0750,2.2632
gaia_64798691287540224,1.9593,0.6015,-0.1687,-3.7778,-0.3961,-1.7875,-2.1748
gaia_67300698718051200,1.9240,-6.1101,-2.7869,1.4781,-15.0748,12.7210,4.2244
gaia_65221487868870784,1.9414,-0.2338,-1.2336,-0.8563,-0.4194,-2.3197,4.7011
gaia_65184929107310592,1.8550,-3.6376,-8.3790,-5.3034,-1.0011,-0.7815,3.5144
gaia_66555985749157760,1.8570,-3.4164,-2.5848,-1.6009,0.2234,-2.3777,0.7510
gaia_65222209423382912,1.8268,-1.5691,-3.6590,-2.0966,1.8389,-4.2127,2.1161
gaia_69872044096705664,1.8334,-2.1162,-3.9534,1.1739,-0.2938,-2.1223,-1.4578
gaia_65008698009126528,1.8332,-0.7002,-1.2373,-2.0533,3.2305,-2.8560,0.9578
gaia_68306099020642432,1.8214,-0.7725,-3.8453,-0.6225,-0.1559,-2.6189,1.7009
gaia_64929391436043264,1.8098,-1.8078,0.1793,-2.5325,-1.1499,-2.3242,3.5571
