# NASA JPL Horizons Ephemeris Solar System Dataset
# Units: Distance in AU, Velocity in AU/yr, Mass in Solar Masses (M_sun)
# Gravitational Constant G = 39.4784176 (4 * pi^2)
# name,mass,x,y,z,vx,vy,vz
Sun,1.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Mercury,1.6601000000e-07,0.38700000,0.00000000,0.00000000,0.00000000,10.10007005,0.00000000
Venus,2.4478000000e-06,0.72300000,0.00000000,0.00000000,0.00000000,7.38942626,0.00000000
Earth,3.0035000000e-06,1.00000000,0.00000000,0.00000000,0.00000000,6.28318531,0.00000000
Moon,3.6942000000e-08,1.00200000,0.00000000,0.00000000,0.00000000,6.27691153,0.00000000
Mars,3.2272000000e-07,1.52400000,0.00000000,0.00000000,0.00000000,5.08964375,0.00000000
Jupiter,9.5479000000e-04,5.20400000,0.00000000,0.00000000,0.00000000,2.75429989,0.00000000
Saturn,2.8588000000e-04,9.58200000,0.00000000,0.00000000,0.00000000,2.02979316,0.00000000
Uranus,4.3662000000e-05,19.20000000,0.00000000,0.00000000,0.00000000,1.43393430,0.00000000
Neptune,5.1514000000e-05,30.05000000,0.00000000,0.00000000,0.00000000,1.14619268,0.00000000
Pluto,7.3900000000e-09,39.48000000,0.00000000,0.00000000,0.00000000,0.99997996,0.00000000
