# Realistic Open Star Cluster (Plummer sphere + Kroupa IMF)
# Each particle has its own distinct physical mass sampled from Kroupa IMF
# name,mass,x,y,z,vx,vy,vz
star_0,3.497755,2.54719,4.34982,0.87788,0.16509,-0.64953,-0.16027
star_1,0.662315,-31.08485,-46.53926,-40.90780,0.06538,-0.13796,-0.19118
star_2,3748.944286,-7.54492,5.22600,-2.92658,-0.22444,-0.37279,0.32647
star_3,0.995632,0.69474,-2.35153,5.56569,0.19900,-0.11752,0.09526
star_4,35.332522,-1.78764,-0.28824,-3.12723,0.52941,0.14978,0.08609
star_5,1.820133,-5.05099,-5.72907,2.86484,-0.12283,0.03793,-0.06126
star_6,1.687804,-2.86993,-2.39841,2.73888,-0.28669,-0.09237,0.21493
star_7,0.928410,1.39549,6.00349,5.98868,-0.67877,-0.12264,0.04018
star_8,0.520202,-5.46871,1.58190,3.05623,-0.55539,0.04340,0.42882
star_9,1.350934,-4.49868,-2.08166,0.58276,0.07373,0.07900,-0.18751
star_10,0.015574,10.00949,-3.06786,-8.19235,-0.30531,-0.10891,0.37342
star_11,2.306609,-7.72751,3.63958,14.52774,-0.19089,-0.21358,-0.27223
star_12,3217.401307,-3.75887,-2.76579,1.76486,-0.47255,0.04747,-0.37232
star_13,3.111001,1.60957,-2.44438,1.36545,0.02278,-0.28417,-0.21999
star_14,7.807765,-1.03921,-3.04495,-0.19850,-0.08172,-0.05933,-0.27702
star_15,21.639610,4.79248,-24.45341,2.30837,-0.10997,0.30380,-0.21267
star_16,10.746849,2.53409,-5.35463,-6.00447,0.17878,-0.42696,-0.28671
star_17,0.051543,-0.56446,3.53373,3.34183,-0.33495,0.28153,0.08393
star_18,0.066323,-4.08128,-4.90151,-1.59382,0.07181,0.02446,-0.04545
star_19,0.600240,-3.13039,-1.72017,5.96284,0.05250,-0.01696,0.05608
star_20,2.506505,-8.21667,0.19280,2.41773,0.00791,-0.00111,-0.00791
star_21,1.111778,-0.38218,-4.09513,6.96175,0.00644,0.01048,0.00879
star_22,1.108139,-7.68797,1.92465,5.91993,0.00746,-0.50717,0.18733
star_23,0.030706,3.56847,6.48141,-9.69948,-0.17498,-0.18683,0.36027
star_24,0.569760,-1.82694,-0.59415,-3.01595,0.02281,0.81217,0.12743
star_25,0.523766,-1.48753,2.77568,2.22011,0.16842,0.46029,-0.02642
star_26,0.065333,-7.46259,-4.12082,-2.46897,-0.00406,-0.00850,0.01696
star_27,0.523906,-2.63392,-3.72466,-5.50301,-0.24987,-0.10289,-0.13364
star_28,1.530808,-0.21196,0.66096,0.68581,-0.13668,0.27939,0.19680
star_29,0.522790,0.37294,-5.00569,-9.94893,-0.39652,0.29892,0.12622
star_30,4.410110,6.33070,3.14984,-5.77392,-0.03019,-0.03635,0.12221
star_31,0.570300,3.25783,1.80250,0.78351,0.15389,0.01981,-0.12517
star_32,0.879902,6.00884,-3.09039,-8.74803,-0.02296,-0.08843,-0.18497
star_33,0.870316,-3.40274,-1.99763,2.62831,0.20566,0.15642,0.11186
star_34,1.480848,-1.60004,1.18875,0.81580,0.03579,-0.00445,-0.00744
star_35,0.044922,5.76583,-0.28863,-0.50439,-0.43504,-0.17703,0.11071
star_36,0.537200,5.87203,-42.58589,15.90887,0.05270,0.06896,-0.22959
star_37,2.138804,1.15888,-2.35123,-1.95224,-0.23418,0.23901,-0.11394
star_38,0.879964,-14.23371,-3.74918,-7.67921,-0.02357,0.00232,0.03950
star_39,690.325804,-0.61859,-2.10333,2.91615,0.05994,0.00085,-0.13377
star_40,13.771396,-0.52760,-4.33240,1.44030,0.32041,-0.16806,0.01819
star_41,0.742288,1.38531,-2.42968,-2.26822,-0.29217,-0.05634,0.56944
star_42,5984.772205,-11.79311,-4.32519,-16.69809,0.07851,-0.04638,0.10374
star_43,18.726323,-8.72530,-2.30015,2.67778,0.39283,0.08660,0.02901
star_44,0.852881,17.47843,-15.10922,-3.35186,0.14177,0.25499,0.03940
star_45,3.860008,0.27790,0.69676,-1.22426,-0.24524,0.61518,-0.15850
star_46,0.835683,-7.56836,2.30704,-1.48460,-0.25088,0.23988,-0.38715
star_47,2241.185723,-3.78378,-1.71614,-2.37773,0.42353,0.30936,-0.30204
star_48,14.262271,-3.13424,-4.61250,0.12938,0.34417,-0.15613,0.16386
star_49,3.143351,-8.03626,7.07625,-4.59157,0.02629,-0.24219,0.00657
star_50,0.073577,-0.86635,-2.68481,-2.71569,0.52351,-0.18285,0.29572
star_51,0.045470,-0.59664,-0.52841,1.74260,0.05722,-0.36351,0.41282
star_52,14.910982,3.75740,-1.55068,1.88957,-0.22952,0.17800,0.73628
